id_steam	nom	date_sortie	genre	lien_image	emotions
2195250	EA SPORTS FC™ 24	28 Sep, 2023	Simulation, Sports	https://cdn.akamai.steamstatic.com/steam/apps/2195250/header.jpg?t=1709567756	
949230	Cities: Skylines II	24 Oct, 2023	Simulation	https://cdn.akamai.steamstatic.com/steam/apps/949230/header.jpg?t=1711120554	
2287220	F1® Manager 2023	31 Jul, 2023	Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/2287220/header.jpg?t=1710321659	
703080	Planet Zoo	5 Nov, 2019	Casual, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/703080/header.jpg?t=1709821080	
1142710	Total War: WARHAMMER III	16 Feb, 2022	Action, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1142710/header.jpg?t=1706786968	
2325830	Total War: WARHAMMER III - Shadows of Change	31 Aug, 2023	Action, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/2325830/header.jpg?t=1708614224	
261550	Mount & Blade II: Bannerlord	25 Oct, 2022	Action, Indie, RPG, Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/261550/header.jpg?t=1707212548	
529340	Victoria 3	25 Oct, 2022	Simulation, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/529340/header.jpg?t=1709745355	
779340	Total War: THREE KINGDOMS	23 May, 2019	Action, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/779340/header.jpg?t=1699976365	
1124300	HUMANKIND™	17 Aug, 2021	Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1124300/header.jpg?t=1705417242	
1485590	ENDLESS™ Dungeon	19 Oct, 2023	Action, Strategy	https://cdn.akamai.steamstatic.com/steam/apps/1485590/header.jpg?t=1710866392	
2131680	METAL GEAR & METAL GEAR 2: Solid Snake	24 Oct, 2023	Action	https://cdn.akamai.steamstatic.com/steam/apps/2131680/header.jpg?t=1710832180	
1942280	Brotato	23 Jun, 2023	Action, Casual, Indie, RPG	https://cdn.akamai.steamstatic.com/steam/apps/1942280/header.jpg?t=1711284119	
1203630	Record of Lodoss War-Deedlit in Wonder Labyrinth-	27 Mar, 2021	Action, Indie	https://cdn.akamai.steamstatic.com/steam/apps/1203630/header.jpg?t=1711336483	
524220	NieR:Automata™	17 Mar, 2017	Action, RPG	https://cdn.akamai.steamstatic.com/steam/apps/524220/header.jpg?t=1696405478	
850320	PHOGS!	3 Dec, 2020	Adventure, Casual, Indie	https://cdn.akamai.steamstatic.com/steam/apps/850320/header.jpg?t=1688542335	
2054970	Dragon's Dogma 2	21 Mar, 2024	Action, RPG	https://cdn.akamai.steamstatic.com/steam/apps/2054970/header.jpg?t=1711067553	
2711030	Sugardew Island - Your cozy farm shop	Q2 2024	Casual, Indie, Simulation	https://cdn.akamai.steamstatic.com/steam/apps/2711030/header.jpg?t=1706799322	
